"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","Расчёт базовой стоимости для различных дистанций [1] 1.0, SMALL, NOT_FRAGILE, NORMAL, 400.0","","Wed Mar 19 15:26:05 MSK 2025","passed","Wed Mar 19 15:26:05 MSK 2025","","Тесты расчета стоимости доставки","org.example.service.DeliveryServiceTest$deliveryCostCalculationTests","CalculateBaseCostTest"
"","10","Граничные случаи дистанции для расчёта стоимости доставки [2] 10.0, LARGE, FRAGILE, HEAVY, 840.0","","Wed Mar 19 14:45:09 MSK 2025","passed","Wed Mar 19 14:45:09 MSK 2025","","org.example.service.DeliveryServiceTest","org.example.service.DeliveryServiceTest","CalculateBoarderDistanceCasesTest"
"","2","Расчёт базовой стоимости для различных дистанций [2] 5.0, SMALL, NOT_FRAGILE, NORMAL, 400.0","","Wed Mar 19 14:45:09 MSK 2025","passed","Wed Mar 19 14:45:09 MSK 2025","","org.example.service.DeliveryServiceTest","org.example.service.DeliveryServiceTest","CalculateBaseCostTest"
"","2","Граничные случаи дистанции для расчёта стоимости доставки [4] 31.0, LARGE, NOT_FRAGILE, NORMAL, 500.0","","Wed Mar 19 15:26:05 MSK 2025","passed","Wed Mar 19 15:26:05 MSK 2025","","Тесты расчета стоимости доставки","org.example.service.DeliveryServiceTest$deliveryCostCalculationTests","CalculateBoarderDistanceCasesTest"
"","2","Расчёт базовой стоимости для различных дистанций [1] 1.0, SMALL, NOT_FRAGILE, NORMAL, 400.0","","Wed Mar 19 14:45:09 MSK 2025","passed","Wed Mar 19 14:45:09 MSK 2025","","org.example.service.DeliveryServiceTest","org.example.service.DeliveryServiceTest","CalculateBaseCostTest"
"","3","Расчет стоимости доставки для различных видов хрупкости груза [2] 30.0, SMALL, FRAGILE, NORMAL, 600.0","","Wed Mar 19 14:45:09 MSK 2025","passed","Wed Mar 19 14:45:09 MSK 2025","","org.example.service.DeliveryServiceTest","org.example.service.DeliveryServiceTest","CalculateFragileCostTest"
"","3","Расчёт базовой стоимости для различных дистанций [4] 35.0, SMALL, NOT_FRAGILE, NORMAL, 400.0","","Wed Mar 19 14:45:09 MSK 2025","passed","Wed Mar 19 14:45:09 MSK 2025","","org.example.service.DeliveryServiceTest","org.example.service.DeliveryServiceTest","CalculateBaseCostTest"
"","1","Расчет стоимости доставки для различных уровней нагрузки [4] 30.0, SMALL, NOT_FRAGILE, VERY_HEAVY, 480.0","","Wed Mar 19 14:45:09 MSK 2025","passed","Wed Mar 19 14:45:09 MSK 2025","","org.example.service.DeliveryServiceTest","org.example.service.DeliveryServiceTest","CalculateWorkLoadCostTest"
"","3","Хрупкий груз на расстояние больше 30км","","Wed Mar 19 15:26:05 MSK 2025","passed","Wed Mar 19 15:26:05 MSK 2025","","Тесты валидации данных","org.example.service.DeliveryServiceTest$ValidationTests","validateFragileDistanceTest"
"","1","Проверка входных данных на null [2] 12.0, null, NOT_FRAGILE, HEAVY","","Wed Mar 19 15:26:05 MSK 2025","passed","Wed Mar 19 15:26:05 MSK 2025","","Тесты валидации данных","org.example.service.DeliveryServiceTest$ValidationTests","validateDataTest"
"","2","Граничные случаи дистанции для расчёта стоимости доставки [3] 30.0, LARGE, FRAGILE, INTENSE, 840.0","","Wed Mar 19 14:45:09 MSK 2025","passed","Wed Mar 19 14:45:09 MSK 2025","","org.example.service.DeliveryServiceTest","org.example.service.DeliveryServiceTest","CalculateBoarderDistanceCasesTest"
"","3","Расчёт базовой стоимости для различных дистанций [2] 5.0, SMALL, NOT_FRAGILE, NORMAL, 400.0","","Wed Mar 19 15:26:05 MSK 2025","passed","Wed Mar 19 15:26:05 MSK 2025","","Тесты расчета стоимости доставки","org.example.service.DeliveryServiceTest$deliveryCostCalculationTests","CalculateBaseCostTest"
"","3","Расчет стоимости доставки для различных видов хрупкости груза [2] 30.0, SMALL, FRAGILE, NORMAL, 600.0","","Wed Mar 19 15:26:05 MSK 2025","passed","Wed Mar 19 15:26:05 MSK 2025","","Тесты расчета стоимости доставки","org.example.service.DeliveryServiceTest$deliveryCostCalculationTests","CalculateFragileCostTest"
"","2","Расчет стоимости доставки для различных уровней нагрузки [3] 30.0, SMALL, NOT_FRAGILE, HEAVY, 420.0","","Wed Mar 19 14:45:09 MSK 2025","passed","Wed Mar 19 14:45:09 MSK 2025","","org.example.service.DeliveryServiceTest","org.example.service.DeliveryServiceTest","CalculateWorkLoadCostTest"
"","2","Расчёт базовой стоимости для различных дистанций [3] 15.0, SMALL, NOT_FRAGILE, NORMAL, 400.0","","Wed Mar 19 15:26:05 MSK 2025","passed","Wed Mar 19 15:26:05 MSK 2025","","Тесты расчета стоимости доставки","org.example.service.DeliveryServiceTest$deliveryCostCalculationTests","CalculateBaseCostTest"
"","2","Проверка входных данных на null [3] 12.0, SMALL, null, HEAVY","","Wed Mar 19 14:45:09 MSK 2025","passed","Wed Mar 19 14:45:09 MSK 2025","","org.example.service.DeliveryServiceTest","org.example.service.DeliveryServiceTest","validateDataTest"
"","4","Проверка расстояния на <= 0 [1] 0.0","","Wed Mar 19 14:45:09 MSK 2025","passed","Wed Mar 19 14:45:09 MSK 2025","","org.example.service.DeliveryServiceTest","org.example.service.DeliveryServiceTest","validateDistanceLessOrEqualZeroTest"
"","2","Расчет стоимости доставки для различных размеров груза [2] 30.0, LARGE, NOT_FRAGILE, NORMAL, 400.0","","Wed Mar 19 14:45:09 MSK 2025","passed","Wed Mar 19 14:45:09 MSK 2025","","org.example.service.DeliveryServiceTest","org.example.service.DeliveryServiceTest","CalculateSizeCostTest"
"","2","Расчет стоимости доставки для различных размеров груза [2] 30.0, LARGE, NOT_FRAGILE, NORMAL, 400.0","","Wed Mar 19 15:26:05 MSK 2025","passed","Wed Mar 19 15:26:05 MSK 2025","","Тесты расчета стоимости доставки","org.example.service.DeliveryServiceTest$deliveryCostCalculationTests","CalculateSizeCostTest"
